T0,F1-score
2,0.9956811935610522
5,0.9948186528497409
1,0.9918772563176895
3,0.9901685393258427
44,0.9863013698630136
4,0.9848893685914732
11,0.9834710743801653
16,0.9816901408450704
35,0.9805825242718447
45,0.9784791965566715
46,0.9769975786924939
38,0.9744058500914077
14,0.9741935483870968
40,0.9737753587333003
21,0.973125
39,0.9727556945064761
9,0.9726834493840386
32,0.9723889555822329
27,0.9718670076726342
33,0.9712460063897763
13,0.9701897018970189
24,0.9693769799366421
15,0.9670886075949368
17,0.9670658682634731
36,0.9664138678223185
43,0.9661016949152542
41,0.9652832158705299
22,0.963855421686747
7,0.9630305796439982
6,0.961866307761328
18,0.9614512471655329
47,0.9601769911504425
20,0.9597806215722121
37,0.9589257503949447
26,0.958217270194986
10,0.95171202809482
34,0.9420745397395599
48,0.9390519187358917
12,0.9389312977099237
25,0.9374262101534829
29,0.9347568208778173
31,0.9238790406673618
30,0.9219143576826196
23,0.9198813056379822
42,0.9142176330420969
19,0.9138062547673532
28,0.9037130270610447
8,0.8686371100164204
